"date","state","smoothed_cases","smoothed_deaths","smoothed_pct_hh_cli_weighted","smoothed_pct_cmnty_cli_weighted","smoothed_pct_hh_fever_weighted","smoothed_pct_hh_sore_throat_weighted","smoothed_pct_hh_cough_weighted","smoothed_pct_hh_shortness_of_breath_weighted","smoothed_pct_self_fever_weighted","smoothed_pct_self_sore_throat_weighted","smoothed_pct_self_anosmia_ageusia_weighted","smoothed_pct_contact_covid_positive_weighted"
2020-04-12,"SD",130.714285714286,0.142857142857143,1.3926,0,1.7039,9.1581,20.7986,7.0548,1.0106,7.9711,1.5027,1.3018
2020-04-12,"TN",234.428571428571,5.85714285714286,1.2077,0,1.5143,8.8845,21.382,7.0854,1.0194,7.566,1.5253,0.9347
2020-04-12,"TX",817,31.7142857142857,1.3041,0,1.5681,9.2066,19.6029,6.1874,1.1875,7.7291,1.3056,0.889
2020-04-12,"UT",104.857142857143,1,1.58,0,2.1671,11.8506,22.6522,7.802,1.2409,9.4627,1.669,0.8249
2020-04-12,"VA",425.285714285714,18.2857142857143,1.1401,0,1.5206,8.2258,19.2018,5.7164,0.9955,7.0952,1.2696,0.8674
2020-04-12,"VT",13.1428571428571,1.71428571428571,1.0989,0,1.3863,8.6146,19.7252,6.7556,1.2119,7.4188,1.6043,0.5648
2020-04-12,"WA",231.857142857143,18.7142857142857,1.2305,0,1.5739,9.3496,20.2915,6.7058,1.1793,8.0393,1.607,1.0881
2020-04-12,"WI",140.857142857143,10.1428571428571,1.2678,0,1.5812,9.0676,19.7279,6.5566,1.0995,7.6194,1.3843,0.9126
2020-04-12,"WV",33.1428571428571,1.71428571428571,1.3127,0,1.8323,8.725,21.0168,7.5277,1.2361,7.2155,1.6404,0.8789
2020-04-12,"WY",9.85714285714286,0.285714285714286,1.5979,0,1.9799,11.3418,23.436,9.0735,1.5867,9.3928,1.9997,1.0965
2020-04-13,"AK",6.71428571428571,0.142857142857143,1.3083,0,1.4726,9.6397,19.0202,5.7285,1.0455,7.9975,2.0386,0.992
2020-04-13,"AL",188.571428571429,9.57142857142857,1.2356,0,1.6658,8.9361,22.2163,7.1702,1.2557,7.5587,1.8071,1.191
2020-04-13,"AR",71.5714285714286,1.71428571428571,1.497,0,1.6854,9.1419,23.2822,7.8158,1.2658,7.7336,1.718,0.8832
2020-04-13,"AZ",198.571428571429,10.1428571428571,1.5567,0,1.9191,9.0551,19.7906,7.1357,1.3138,7.471,1.5119,1.0115
2020-04-13,"CA",1174.42857142857,71.4285714285714,1.019,0,1.3129,8.9725,17.7767,5.1946,0.8392,7.3264,1.2274,0.7191
2020-04-13,"CO",346.714285714286,18.7142857142857,1.8757,0,2.2462,9.9011,20.3493,7.8187,1.6583,8.1742,1.9072,1.3362
2020-04-13,"CT",846.714285714286,81.8571428571429,1.511,0,1.9569,8.8319,16.9891,6.0928,1.214,7.3069,1.6452,2.1221
2020-04-13,"DC",131.142857142857,6.57142857142857,0.9926,0,1.3012,8.3458,15.2833,4.5626,0.7894,7.1486,1.5968,1.339
2020-04-13,"DE",130.428571428571,4.57142857142857,1.2865,0,1.7125,7.6025,17.6596,5.2974,1.3671,6.0633,1.1331,1.5639
2020-04-13,"FL",921.571428571429,44.7142857142857,1.0699,0,1.3884,7.9047,17.3873,5.344,0.9385,6.6096,1.1819,0.9161
2020-04-13,"GA",788,34.8571428571429,1.3203,0,1.5703,8.7303,21.6724,6.3212,1.1426,7.3364,1.5637,1.2822
2020-04-13,"HI",11,0.142857142857143,0.7928,0,0.9509,6.6584,18.8666,5.2572,0.7384,6.5209,0.8907,0.5044
2020-04-13,"IA",189.714285714286,4.85714285714286,1.7445,0,2.146,9.3281,20.3451,7.0338,1.4692,7.7264,1.631,0.8566
2020-04-13,"ID",30.7142857142857,2.57142857142857,1.5746,0,2.096,10.1046,21.8622,7.9187,1.5428,8.1969,1.6251,1.1248
2020-04-13,"IL",1357.85714285714,82.1428571428571,1.3742,0,1.8181,8.6507,18.9188,6.451,1.1489,6.9751,1.7254,1.2316
2020-04-13,"IN",473,35.2857142857143,1.6057,0,2.0268,9.3055,21.3617,7.777,1.3411,7.6141,1.7922,1.4528
2020-04-13,"KS",80,5.42857142857143,1.2135,0,1.5535,7.8788,19.2936,6.9093,1.0995,6.6731,1.34,0.975
2020-04-13,"KY",142.428571428571,7.28571428571429,1.3029,0,1.7052,8.5393,22.2421,7.6039,1.1603,7.1823,1.5108,0.8563
2020-04-13,"LA",476.142857142857,65.1428571428571,1.7489,0,2.0865,9.0168,21.0525,6.6149,1.359,7.4082,2.0069,2.4907
2020-04-13,"MA",1800.28571428571,135.714285714286,1.0749,0,1.4014,8.8836,17.6287,5.694,0.9242,7.2155,1.6446,1.5208
2020-04-13,"MD",666.714285714286,44.5714285714286,0.9997,0,1.2725,7.8365,18.1272,5.5403,0.8451,6.6063,1.3885,1.1246
2020-04-13,"ME",33.4285714285714,2.14285714285714,1.2336,0,1.4577,8.2262,18.1965,6.5719,1.0029,6.8283,1.2251,0.5839
2020-04-13,"MI",979,128.714285714286,1.362,0,1.7022,8.4267,18.6722,6.5209,1.1236,6.9431,1.5972,1.4733
2020-04-13,"MN",105,9.14285714285714,1.1951,0,1.5145,8.5968,18.3842,6.3399,1.1191,7.3973,1.4313,0.8038
2020-04-13,"MO",215.285714285714,11.4285714285714,1.1653,0,1.4995,8.4582,20.4206,7.1994,1.0476,7.1029,1.3593,1.0715
2020-04-13,"MS",213.285714285714,9,1.252,0,1.5115,8.497,21.7707,6.7746,1.0261,7.1058,1.5375,1.4001
2020-04-13,"MT",6.57142857142857,0.571428571428571,1.4868,0,1.8422,8.9934,20.4787,7.2517,1.371,7.5089,1.5613,0.7566
2020-04-13,"NC",281.857142857143,13.8571428571429,1.142,0,1.4251,7.5369,18.7597,5.6066,0.9867,6.3635,1.2364,0.8448
2020-04-13,"ND",39.5714285714286,0.285714285714286,1.125,0,1.4954,9.3995,16.8501,5.5006,0.9604,8.1483,0.9437,0.7721
2020-04-13,"NE",95.4285714285714,1.42857142857143,1.3653,0,1.7711,9.7962,20.9135,7.0942,1.2634,8.5955,1.6261,0.7825
2020-04-13,"NH",58.1428571428571,2.57142857142857,1.4031,0,1.6349,8.7107,18.4482,6.7207,1.0094,7.2614,1.0121,0.945
2020-04-13,"NJ",3350.14285714286,264.571428571429,2.0175,0,2.5354,9.2687,18.0946,6.0238,1.5457,7.351,2.5799,2.4895
2020-04-13,"NM",85.7142857142857,4.14285714285714,0.972,0,1.3036,8.5794,19.5173,6.0035,0.8716,7.6192,1.4487,0.7447
2020-04-13,"NV",121.428571428571,6.42857142857143,1.6501,0,1.8947,9.1728,20.2492,7.5895,1.5289,7.5001,1.534,0.9992
2020-04-13,"NY",7902.28571428571,811,2.4161,0,2.9707,9.9033,20.2918,7.0018,1.8949,7.7334,3.3292,2.912
2020-04-13,"OH",713.857142857143,31.1428571428571,1.2884,0,1.5973,8.9016,20.779,7.1687,1.0778,7.3056,1.5449,1.119
2020-04-13,"OK",89.8571428571429,6.28571428571429,1.557,0,2.0316,9.4634,22.3274,7.9548,1.4986,7.9034,1.8172,1.1488
2020-04-13,"OR",54.7142857142857,3.14285714285714,1.4588,0,1.8511,8.8892,19.7166,7.4711,1.3064,7.3534,1.7123,0.9645
2020-04-13,"PA",1433.85714285714,108.571428571429,1.1659,0,1.5552,7.7741,17.9955,5.9226,0.999,6.4735,1.3053,1.1639
2020-04-13,"RI",291.571428571429,12.4285714285714,1.3964,0,1.5214,8.9291,17.6637,7.3653,0.9628,7.1766,1.4099,1.3482
2020-04-13,"SC",151.142857142857,5.42857142857143,1.1251,0,1.3725,8.0403,20.3636,6.0689,1.0551,6.9142,1.4754,1.1581
2020-04-13,"SD",129.428571428571,0.142857142857143,1.3541,0,1.6503,8.8595,20.1833,6.8904,0.8423,7.7056,1.3091,1.2412
2020-04-13,"TN",240,6.28571428571429,1.2215,0,1.5282,8.7069,20.8644,7.0168,1.0652,7.3858,1.4891,0.936
2020-04-13,"TX",809.285714285714,30.7142857142857,1.1968,0,1.5312,9.1445,19.4563,6.2826,1.1798,7.6191,1.3252,0.8929
2020-04-13,"UT",109.428571428571,1.28571428571429,1.6301,0,2.1815,11.4766,22.1005,7.3966,1.2076,9.0838,1.7491,0.8803
2020-04-13,"VA",466.142857142857,19.4285714285714,1.0689,0,1.4362,8.0837,19.0347,5.7311,0.9076,7.0239,1.2454,0.834
2020-04-13,"VT",12.1428571428571,1.42857142857143,1.1702,0,1.3698,8.3827,19.764,6.7718,1.1407,7.1637,1.529,0.547
